**********START:02/18/2023 12:47:17**********
{'time': '02/18/2023 13:51:37', 'total_params': 1, 'ratio': 0.6, 'loss': 0.0, 'accuracy': 0.859649121761322, 'precision': 0.9836065769195557, 'recall': 0.7228915691375732, 'auc': 0.9585843682289124, 'prc': 0.9649416208267212, 'seed': 3}
{'time': '02/18/2023 13:53:38', 'total_params': 1, 'ratio': 0.7, 'loss': 0.0, 'accuracy': 0.8190954923629761, 'precision': 0.9545454382896423, 'recall': 0.65625, 'auc': 0.9411407709121704, 'prc': 0.9397131204605103, 'seed': 3}
{'time': '02/18/2023 13:56:34', 'total_params': 1, 'ratio': 0.8, 'loss': 0.0, 'accuracy': 0.8414096832275391, 'precision': 0.9736841917037964, 'recall': 0.6851851940155029, 'auc': 0.9616402387619019, 'prc': 0.9608861207962036, 'seed': 3}
{'time': '02/18/2023 13:59:08', 'total_params': 1, 'ratio': 0.9, 'loss': 0.0, 'accuracy': 0.796875, 'precision': 0.957446813583374, 'recall': 0.6521739363670349, 'auc': 0.9358572363853455, 'prc': 0.947999119758606, 'seed': 3}
{'time': '02/18/2023 14:02:39', 'total_params': 1, 'ratio': 1.0, 'loss': 0.0, 'accuracy': 0.8626760840415955, 'precision': 0.9626168012619019, 'recall': 0.7463768124580383, 'auc': 0.9437909722328186, 'prc': 0.9495528340339661, 'seed': 3}
{'time': '02/18/2023 14:03:12', 'total_params': 1, 'ratio': 0.1, 'loss': 0.0, 'accuracy': 0.6551724076271057, 'precision': 1.0, 'recall': 0.375, 'auc': 0.9399038553237915, 'prc': 0.9407212734222412, 'seed': 4}
{'time': '02/18/2023 14:04:05', 'total_params': 1, 'ratio': 0.2, 'loss': 0.0, 'accuracy': 0.7719298005104065, 'precision': 0.8181818127632141, 'recall': 0.44999998807907104, 'auc': 0.8486486077308655, 'prc': 0.7510043978691101, 'seed': 4}
{'time': '02/18/2023 14:05:03', 'total_params': 1, 'ratio': 0.3, 'loss': 0.0, 'accuracy': 0.7411764860153198, 'precision': 1.0, 'recall': 0.5600000023841858, 'auc': 0.8622856736183167, 'prc': 0.9133107662200928, 'seed': 4}
{'time': '02/18/2023 14:06:36', 'total_params': 1, 'ratio': 0.4, 'loss': 0.0, 'accuracy': 0.7280701994895935, 'precision': 0.8333333134651184, 'recall': 0.5454545617103577, 'auc': 0.8838212490081787, 'prc': 0.8773958683013916, 'seed': 4}
{'time': '02/18/2023 14:08:07', 'total_params': 1, 'ratio': 0.5, 'loss': 0.0, 'accuracy': 0.7887324094772339, 'precision': 0.9245283007621765, 'recall': 0.653333306312561, 'auc': 0.9498507380485535, 'prc': 0.9531031847000122, 'seed': 4}
{'time': '02/18/2023 14:10:21', 'total_params': 1, 'ratio': 0.6, 'loss': 0.0, 'accuracy': 0.7660818696022034, 'precision': 0.9272727370262146, 'recall': 0.5862069129943848, 'auc': 0.920976996421814, 'prc': 0.924014687538147, 'seed': 4}
{'time': '02/18/2023 14:12:25', 'total_params': 1, 'ratio': 0.7, 'loss': 0.0, 'accuracy': 0.839195966720581, 'precision': 0.9753086566925049, 'recall': 0.7247706651687622, 'auc': 0.9695208668708801, 'prc': 0.9755277037620544, 'seed': 4}
{'time': '02/18/2023 14:15:19', 'total_params': 1, 'ratio': 0.8, 'loss': 0.0, 'accuracy': 0.7753304243087769, 'precision': 0.8799999952316284, 'recall': 0.6111111044883728, 'auc': 0.9229691624641418, 'prc': 0.9160768389701843, 'seed': 4}
{'time': '02/18/2023 14:17:52', 'total_params': 1, 'ratio': 0.9, 'loss': 0.0, 'accuracy': 0.84765625, 'precision': 0.9494949579238892, 'recall': 0.734375, 'auc': 0.939117431640625, 'prc': 0.9452019929885864, 'seed': 4}
{'time': '02/18/2023 14:21:22', 'total_params': 1, 'ratio': 1.0, 'loss': 0.0, 'accuracy': 0.7676056623458862, 'precision': 0.918367326259613, 'recall': 0.6081081032752991, 'auc': 0.9139507412910461, 'prc': 0.9219450950622559, 'seed': 4}
{'time': '02/18/2023 14:21:56', 'total_params': 1, 'ratio': 0.1, 'loss': 0.0, 'accuracy': 0.6551724076271057, 'precision': 0.8999999761581421, 'recall': 0.5, 'auc': 0.8535354137420654, 'prc': 0.8685029745101929, 'seed': 5}
