**********START:02/16/2023 17:39:09**********
{'time': '02/16/2023 22:45:52', 'total_params': 1, 'ratio': 12.0, 'loss': 0.0, 'accuracy': 0.5051546096801758, 'f1score': 0.49109482765197754, 'precision': 1.0, 'recall': 0.3255208432674408, 'auc': 0.7740195989608765, 'prc': 0.6251966953277588, 'seed': 4}
{'time': '02/16/2023 23:07:06', 'total_params': 1, 'ratio': 13.0, 'loss': 0.0, 'accuracy': 0.4878048896789551, 'f1score': 0.4960629642009735, 'precision': 1.0, 'recall': 0.3298611342906952, 'auc': 0.7665080428123474, 'prc': 0.5916018486022949, 'seed': 4}
{'time': '02/16/2023 23:14:39', 'total_params': 1, 'ratio': 14.0, 'loss': 0.0, 'accuracy': 0.5151515007019043, 'f1score': 0.4285713732242584, 'precision': 1.0, 'recall': 0.2777777910232544, 'auc': 0.7512052655220032, 'prc': 0.582901120185852, 'seed': 4}
{'time': '02/16/2023 23:17:05', 'total_params': 1, 'ratio': 1.0, 'loss': 0.0, 'accuracy': 0.6823529601097107, 'f1score': 0.296882301568985, 'precision': 1.0, 'recall': 0.17443782091140747, 'auc': 0.8742560744285583, 'prc': 0.7855318784713745, 'seed': 5}
{'time': '02/16/2023 23:19:46', 'total_params': 1, 'ratio': 2.0, 'loss': 0.0, 'accuracy': 0.6219512224197388, 'f1score': 0.3476449251174927, 'precision': 1.0, 'recall': 0.21103395521640778, 'auc': 0.8523200750350952, 'prc': 0.7341452836990356, 'seed': 5}
{'time': '02/16/2023 23:23:47', 'total_params': 1, 'ratio': 3.0, 'loss': 0.0, 'accuracy': 0.5494505763053894, 'f1score': 0.45471516251564026, 'precision': 1.0, 'recall': 0.2947530746459961, 'auc': 0.7848085761070251, 'prc': 0.6612287163734436, 'seed': 5}
{'time': '02/16/2023 23:27:22', 'total_params': 1, 'ratio': 4.0, 'loss': 0.0, 'accuracy': 0.5531914830207825, 'f1score': 0.495798259973526, 'precision': 1.0, 'recall': 0.3296296298503876, 'auc': 0.7988908886909485, 'prc': 0.6513785123825073, 'seed': 5}
{'time': '02/16/2023 23:30:55', 'total_params': 1, 'ratio': 5.0, 'loss': 0.0, 'accuracy': 0.5, 'f1score': 0.48179733753204346, 'precision': 1.0, 'recall': 0.31736108660697937, 'auc': 0.7404690980911255, 'prc': 0.5726715326309204, 'seed': 5}
{'time': '02/16/2023 23:36:57', 'total_params': 1, 'ratio': 6.0, 'loss': 0.0, 'accuracy': 0.5068492889404297, 'f1score': 0.4920634925365448, 'precision': 1.0, 'recall': 0.3263889253139496, 'auc': 0.7903921604156494, 'prc': 0.6663953065872192, 'seed': 5}
{'time': '02/16/2023 23:40:47', 'total_params': 1, 'ratio': 7.0, 'loss': 0.0, 'accuracy': 0.524193525314331, 'f1score': 0.4842766523361206, 'precision': 1.0, 'recall': 0.3195684552192688, 'auc': 0.7769739031791687, 'prc': 0.6395163536071777, 'seed': 5}
{'time': '02/16/2023 23:45:54', 'total_params': 1, 'ratio': 8.0, 'loss': 0.0, 'accuracy': 0.4761904776096344, 'f1score': 0.4940944314002991, 'precision': 1.0, 'recall': 0.328125, 'auc': 0.7600151896476746, 'prc': 0.6108645796775818, 'seed': 5}
{'time': '02/16/2023 23:53:41', 'total_params': 1, 'ratio': 9.0, 'loss': 0.0, 'accuracy': 0.5595238208770752, 'f1score': 0.4960629642009735, 'precision': 1.0, 'recall': 0.3298611342906952, 'auc': 0.8123936653137207, 'prc': 0.6814184784889221, 'seed': 5}
{'time': '02/17/2023 00:02:16', 'total_params': 1, 'ratio': 10.0, 'loss': 0.0, 'accuracy': 0.5287356376647949, 'f1score': 0.49450549483299255, 'precision': 1.0, 'recall': 0.3285024166107178, 'auc': 0.7679680585861206, 'prc': 0.6138206124305725, 'seed': 5}
{'time': '02/17/2023 00:10:27', 'total_params': 1, 'ratio': 11.0, 'loss': 0.0, 'accuracy': 0.5, 'f1score': 0.4960629642009735, 'precision': 1.0, 'recall': 0.3298611342906952, 'auc': 0.7600014805793762, 'prc': 0.5714975595474243, 'seed': 5}
{'time': '02/17/2023 00:16:02', 'total_params': 1, 'ratio': 12.0, 'loss': 0.0, 'accuracy': 0.5287356376647949, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.7578940987586975, 'prc': 0.5952900648117065, 'seed': 5}
{'time': '02/17/2023 00:23:32', 'total_params': 1, 'ratio': 13.0, 'loss': 0.0, 'accuracy': 0.4901960790157318, 'f1score': 0.4836956262588501, 'precision': 1.0, 'recall': 0.3194444477558136, 'auc': 0.7344050407409668, 'prc': 0.5638238787651062, 'seed': 5}
{'time': '02/17/2023 00:34:45', 'total_params': 1, 'ratio': 14.0, 'loss': 0.0, 'accuracy': 0.4757281541824341, 'f1score': 0.49704721570014954, 'precision': 1.0, 'recall': 0.3307291865348816, 'auc': 0.7248799204826355, 'prc': 0.5385925769805908, 'seed': 5}
