**********START:02/16/2023 17:39:09**********
{'time': '02/16/2023 19:45:15', 'total_params': 827267, 'ratio': 10.0, 'loss': 1.2362173795700073, 'accuracy': 0.3854166567325592, 'precision': 0.3854166567325592, 'recall': 0.3854166567325592, 'auc': 0.6688639521598816, 'prc': 0.4717683792114258, 'seed': 2}
{'time': '02/16/2023 19:51:40', 'total_params': 827267, 'ratio': 11.0, 'loss': 1.199244499206543, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.6549742221832275, 'prc': 0.4628336727619171, 'seed': 2}
{'time': '02/16/2023 20:00:16', 'total_params': 827267, 'ratio': 12.0, 'loss': 1.486456036567688, 'accuracy': 0.37254902720451355, 'precision': 0.37254902720451355, 'recall': 0.37254902720451355, 'auc': 0.6479718685150146, 'prc': 0.5033698081970215, 'seed': 2}
{'time': '02/16/2023 20:13:41', 'total_params': 827267, 'ratio': 13.0, 'loss': 1.3107975721359253, 'accuracy': 0.3655914068222046, 'precision': 0.3655914068222046, 'recall': 0.3655914068222046, 'auc': 0.6421262621879578, 'prc': 0.47053712606430054, 'seed': 2}
{'time': '02/16/2023 20:32:14', 'total_params': 827267, 'ratio': 14.0, 'loss': 1.1866612434387207, 'accuracy': 0.3287671208381653, 'precision': 0.3287671208381653, 'recall': 0.3287671208381653, 'auc': 0.6452430486679077, 'prc': 0.4465996026992798, 'seed': 2}
{'time': '02/16/2023 20:34:05', 'total_params': 827267, 'ratio': 1.0, 'loss': 0.9336528182029724, 'accuracy': 0.5411764979362488, 'precision': 0.6969696879386902, 'recall': 0.2705882489681244, 'auc': 0.7618685364723206, 'prc': 0.6146734952926636, 'seed': 3}
{'time': '02/16/2023 20:37:16', 'total_params': 827267, 'ratio': 2.0, 'loss': 0.9343076944351196, 'accuracy': 0.5512820482254028, 'precision': 0.6666666865348816, 'recall': 0.3589743673801422, 'auc': 0.7584237456321716, 'prc': 0.6465451121330261, 'seed': 3}
{'time': '02/16/2023 20:39:46', 'total_params': 827267, 'ratio': 3.0, 'loss': 1.0467242002487183, 'accuracy': 0.4545454680919647, 'precision': 0.5185185074806213, 'recall': 0.15909090638160706, 'auc': 0.6435950398445129, 'prc': 0.45942845940589905, 'seed': 3}
{'time': '02/16/2023 20:42:10', 'total_params': 827267, 'ratio': 4.0, 'loss': 1.0209476947784424, 'accuracy': 0.47422680258750916, 'precision': 0.4523809552192688, 'recall': 0.19587628543376923, 'auc': 0.6751779913902283, 'prc': 0.46899354457855225, 'seed': 3}
{'time': '02/16/2023 20:46:29', 'total_params': 827267, 'ratio': 5.0, 'loss': 0.9874395728111267, 'accuracy': 0.4639175236225128, 'precision': 0.48051947355270386, 'recall': 0.3814432919025421, 'auc': 0.7142629623413086, 'prc': 0.5271903276443481, 'seed': 3}
{'time': '02/16/2023 20:52:11', 'total_params': 827267, 'ratio': 6.0, 'loss': 1.2138351202011108, 'accuracy': 0.34375, 'precision': 0.3472222089767456, 'recall': 0.2604166567325592, 'auc': 0.5429145097732544, 'prc': 0.37593910098075867, 'seed': 3}
{'time': '02/16/2023 20:55:32', 'total_params': 827267, 'ratio': 7.0, 'loss': 1.2143610715866089, 'accuracy': 0.35555556416511536, 'precision': 0.3636363744735718, 'recall': 0.35555556416511536, 'auc': 0.6206790208816528, 'prc': 0.4377288818359375, 'seed': 3}
{'time': '02/16/2023 21:00:15', 'total_params': 827267, 'ratio': 8.0, 'loss': 1.2248492240905762, 'accuracy': 0.36082473397254944, 'precision': 0.36082473397254944, 'recall': 0.36082473397254944, 'auc': 0.6176533102989197, 'prc': 0.41463255882263184, 'seed': 3}
{'time': '02/16/2023 21:05:12', 'total_params': 827267, 'ratio': 9.0, 'loss': 1.1666723489761353, 'accuracy': 0.3404255211353302, 'precision': 0.3404255211353302, 'recall': 0.3404255211353302, 'auc': 0.6343084573745728, 'prc': 0.4274464547634125, 'seed': 3}
{'time': '02/16/2023 21:10:31', 'total_params': 827267, 'ratio': 10.0, 'loss': 1.302818775177002, 'accuracy': 0.3448275923728943, 'precision': 0.3571428656578064, 'recall': 0.3448275923728943, 'auc': 0.5904016494750977, 'prc': 0.418118953704834, 'seed': 3}
{'time': '02/16/2023 21:21:24', 'total_params': 827267, 'ratio': 11.0, 'loss': 1.164591670036316, 'accuracy': 0.43209877610206604, 'precision': 0.4430379867553711, 'recall': 0.43209877610206604, 'auc': 0.6552355289459229, 'prc': 0.4985349774360657, 'seed': 3}
{'time': '02/16/2023 21:26:56', 'total_params': 827267, 'ratio': 12.0, 'loss': 1.1054496765136719, 'accuracy': 0.3947368562221527, 'precision': 0.3947368562221527, 'recall': 0.3947368562221527, 'auc': 0.671875, 'prc': 0.46897247433662415, 'seed': 3}
{'time': '02/16/2023 21:35:11', 'total_params': 827267, 'ratio': 13.0, 'loss': 1.3062376976013184, 'accuracy': 0.37804877758026123, 'precision': 0.37804877758026123, 'recall': 0.37804877758026123, 'auc': 0.6468620300292969, 'prc': 0.48212820291519165, 'seed': 3}
{'time': '02/16/2023 21:48:08', 'total_params': 827267, 'ratio': 14.0, 'loss': 1.417603611946106, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.5939783453941345, 'prc': 0.3996884524822235, 'seed': 3}
{'time': '02/16/2023 21:50:54', 'total_params': 827267, 'ratio': 1.0, 'loss': 0.8900845050811768, 'accuracy': 0.5568181872367859, 'precision': 0.8108108043670654, 'recall': 0.34090909361839294, 'auc': 0.7768917679786682, 'prc': 0.6774707436561584, 'seed': 4}
{'time': '02/16/2023 21:53:19', 'total_params': 827267, 'ratio': 2.0, 'loss': 0.9744435548782349, 'accuracy': 0.523809552192688, 'precision': 0.6078431606292725, 'recall': 0.369047611951828, 'auc': 0.7101403474807739, 'prc': 0.5645744800567627, 'seed': 4}
{'time': '02/16/2023 21:55:54', 'total_params': 827267, 'ratio': 3.0, 'loss': 1.014638066291809, 'accuracy': 0.5365853905677795, 'precision': 0.5737704634666443, 'recall': 0.4268292784690857, 'auc': 0.7048259973526001, 'prc': 0.5738159418106079, 'seed': 4}
{'time': '02/16/2023 21:59:11', 'total_params': 827267, 'ratio': 4.0, 'loss': 1.1955569982528687, 'accuracy': 0.3544303774833679, 'precision': 0.3863636255264282, 'recall': 0.2151898741722107, 'auc': 0.5221118330955505, 'prc': 0.36656665802001953, 'seed': 4}
{'time': '02/16/2023 22:03:13', 'total_params': 827267, 'ratio': 5.0, 'loss': 1.0817164182662964, 'accuracy': 0.3333333432674408, 'precision': 0.4333333373069763, 'recall': 0.2626262605190277, 'auc': 0.6258800029754639, 'prc': 0.4450473189353943, 'seed': 4}
{'time': '02/16/2023 22:07:51', 'total_params': 827267, 'ratio': 6.0, 'loss': 0.9984973073005676, 'accuracy': 0.4933333396911621, 'precision': 0.5454545617103577, 'recall': 0.47999998927116394, 'auc': 0.7236444354057312, 'prc': 0.5600379109382629, 'seed': 4}
{'time': '02/16/2023 22:14:41', 'total_params': 827267, 'ratio': 7.0, 'loss': 0.9882426857948303, 'accuracy': 0.37362638115882874, 'precision': 0.39759036898612976, 'recall': 0.36263737082481384, 'auc': 0.707764744758606, 'prc': 0.5234284400939941, 'seed': 4}
{'time': '02/16/2023 22:20:17', 'total_params': 827267, 'ratio': 8.0, 'loss': 1.1641250848770142, 'accuracy': 0.37037035822868347, 'precision': 0.3717948794364929, 'recall': 0.3580246865749359, 'auc': 0.6130163073539734, 'prc': 0.40771928429603577, 'seed': 4}
{'time': '02/16/2023 22:25:30', 'total_params': 827267, 'ratio': 9.0, 'loss': 1.243051290512085, 'accuracy': 0.3571428656578064, 'precision': 0.3529411852359772, 'recall': 0.34285715222358704, 'auc': 0.610765278339386, 'prc': 0.4045948386192322, 'seed': 4}
{'time': '02/16/2023 22:31:38', 'total_params': 827267, 'ratio': 10.0, 'loss': 1.2934356927871704, 'accuracy': 0.3552631437778473, 'precision': 0.36000001430511475, 'recall': 0.3552631437778473, 'auc': 0.6183778047561646, 'prc': 0.4419861137866974, 'seed': 4}
{'time': '02/16/2023 22:37:33', 'total_params': 827267, 'ratio': 11.0, 'loss': 1.1220755577087402, 'accuracy': 0.4615384638309479, 'precision': 0.4597701132297516, 'recall': 0.4395604431629181, 'auc': 0.7001569867134094, 'prc': 0.5232401490211487, 'seed': 4}
{'time': '02/16/2023 22:45:40', 'total_params': 827267, 'ratio': 12.0, 'loss': 1.2872661352157593, 'accuracy': 0.3298968970775604, 'precision': 0.3298968970775604, 'recall': 0.3298968970775604, 'auc': 0.5525294542312622, 'prc': 0.3741733431816101, 'seed': 4}
{'time': '02/16/2023 23:06:54', 'total_params': 827267, 'ratio': 13.0, 'loss': 1.1479982137680054, 'accuracy': 0.32926830649375916, 'precision': 0.32926830649375916, 'recall': 0.32926830649375916, 'auc': 0.6373066902160645, 'prc': 0.4610028564929962, 'seed': 4}
{'time': '02/16/2023 23:14:27', 'total_params': 827267, 'ratio': 14.0, 'loss': 1.465889811515808, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.5762167572975159, 'prc': 0.3999813199043274, 'seed': 4}
{'time': '02/16/2023 23:16:56', 'total_params': 827267, 'ratio': 1.0, 'loss': 0.788569986820221, 'accuracy': 0.658823549747467, 'precision': 0.7346938848495483, 'recall': 0.42352941632270813, 'auc': 0.8311071991920471, 'prc': 0.7291424870491028, 'seed': 5}
{'time': '02/16/2023 23:19:36', 'total_params': 827267, 'ratio': 2.0, 'loss': 0.9468731880187988, 'accuracy': 0.45121949911117554, 'precision': 0.5, 'recall': 0.3048780560493469, 'auc': 0.7023349404335022, 'prc': 0.549689769744873, 'seed': 5}
{'time': '02/16/2023 23:23:36', 'total_params': 827267, 'ratio': 3.0, 'loss': 0.913153350353241, 'accuracy': 0.5384615659713745, 'precision': 0.7674418687820435, 'recall': 0.36263737082481384, 'auc': 0.7535926103591919, 'prc': 0.6648389101028442, 'seed': 5}
{'time': '02/16/2023 23:27:14', 'total_params': 827267, 'ratio': 4.0, 'loss': 1.0851906538009644, 'accuracy': 0.38297873735427856, 'precision': 0.3333333432674408, 'recall': 0.25531914830207825, 'auc': 0.6160875558853149, 'prc': 0.416583389043808, 'seed': 5}
{'time': '02/16/2023 23:30:45', 'total_params': 827267, 'ratio': 5.0, 'loss': 0.9867035746574402, 'accuracy': 0.488095223903656, 'precision': 0.5303030014038086, 'recall': 0.4166666567325592, 'auc': 0.7087939381599426, 'prc': 0.5578029751777649, 'seed': 5}
{'time': '02/16/2023 23:36:46', 'total_params': 827267, 'ratio': 6.0, 'loss': 1.0581345558166504, 'accuracy': 0.4383561611175537, 'precision': 0.38461539149284363, 'recall': 0.13698630034923553, 'auc': 0.6283073425292969, 'prc': 0.402101069688797, 'seed': 5}
{'time': '02/16/2023 23:40:36', 'total_params': 827267, 'ratio': 7.0, 'loss': 1.1175599098205566, 'accuracy': 0.4516128897666931, 'precision': 0.4727272689342499, 'recall': 0.4193548262119293, 'auc': 0.6519412398338318, 'prc': 0.5047000646591187, 'seed': 5}
{'time': '02/16/2023 23:45:41', 'total_params': 827267, 'ratio': 8.0, 'loss': 1.0717259645462036, 'accuracy': 0.4444444477558136, 'precision': 0.4444444477558136, 'recall': 0.380952388048172, 'auc': 0.6361804008483887, 'prc': 0.4217836856842041, 'seed': 5}
{'time': '02/16/2023 23:53:31', 'total_params': 827267, 'ratio': 9.0, 'loss': 1.0881705284118652, 'accuracy': 0.3452380895614624, 'precision': 0.3499999940395355, 'recall': 0.1666666716337204, 'auc': 0.589958906173706, 'prc': 0.3941524624824524, 'seed': 5}
{'time': '02/17/2023 00:02:05', 'total_params': 827267, 'ratio': 10.0, 'loss': 1.0738697052001953, 'accuracy': 0.5632184147834778, 'precision': 0.5581395626068115, 'recall': 0.5517241358757019, 'auc': 0.7180604934692383, 'prc': 0.582753598690033, 'seed': 5}
{'time': '02/17/2023 00:10:15', 'total_params': 827267, 'ratio': 11.0, 'loss': 1.3523396253585815, 'accuracy': 0.32926830649375916, 'precision': 0.32926830649375916, 'recall': 0.32926830649375916, 'auc': 0.6837447881698608, 'prc': 0.5054270625114441, 'seed': 5}
{'time': '02/17/2023 00:15:50', 'total_params': 827267, 'ratio': 12.0, 'loss': 1.1874514818191528, 'accuracy': 0.4252873659133911, 'precision': 0.40740740299224854, 'recall': 0.37931033968925476, 'auc': 0.6354538202285767, 'prc': 0.4809194505214691, 'seed': 5}
{'time': '02/17/2023 00:23:20', 'total_params': 827267, 'ratio': 13.0, 'loss': 1.212769865989685, 'accuracy': 0.38235294818878174, 'precision': 0.38235294818878174, 'recall': 0.38235294818878174, 'auc': 0.6474913358688354, 'prc': 0.518033504486084, 'seed': 5}
{'time': '02/17/2023 00:34:33', 'total_params': 827267, 'ratio': 14.0, 'loss': 1.350569248199463, 'accuracy': 0.3689320385456085, 'precision': 0.3689320385456085, 'recall': 0.3689320385456085, 'auc': 0.6164813041687012, 'prc': 0.4579383432865143, 'seed': 5}
