**********START:02/15/2023 21:34:38**********
{'time': '02/15/2023 23:43:39', 'total_params': 1, 'ratio': 4.0, 'loss': 0.0, 'accuracy': 0.3888888955116272, 'f1score': 0.488095223903656, 'precision': 1.0, 'recall': 0.3229166865348816, 'auc': 0.7143133282661438, 'prc': 0.5239527821540833, 'seed': 2}
{'time': '02/15/2023 23:44:49', 'total_params': 1, 'ratio': 7.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6628085970878601, 'prc': 0.4868175685405731, 'seed': 2}
{'time': '02/15/2023 23:47:59', 'total_params': 1, 'ratio': 10.0, 'loss': 0.0, 'accuracy': 0.3214285671710968, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6581632494926453, 'prc': 0.45271024107933044, 'seed': 2}
{'time': '02/15/2023 23:50:35', 'total_params': 1, 'ratio': 13.0, 'loss': 0.0, 'accuracy': 0.3214285671710968, 'f1score': 0.48648643493652344, 'precision': 1.0, 'recall': 0.3214285671710968, 'auc': 0.6588010191917419, 'prc': 0.519963800907135, 'seed': 2}
{'time': '02/15/2023 23:53:41', 'total_params': 1, 'ratio': 16.0, 'loss': 0.0, 'accuracy': 0.32258063554763794, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6339750289916992, 'prc': 0.4256259500980377, 'seed': 2}
{'time': '02/15/2023 23:56:48', 'total_params': 1, 'ratio': 19.0, 'loss': 0.0, 'accuracy': 0.3235294222831726, 'f1score': 0.4940944314002991, 'precision': 1.0, 'recall': 0.328125, 'auc': 0.6051037907600403, 'prc': 0.4100096821784973, 'seed': 2}
{'time': '02/15/2023 23:59:53', 'total_params': 1, 'ratio': 22.0, 'loss': 0.0, 'accuracy': 0.3589743673801422, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6595990657806396, 'prc': 0.46288731694221497, 'seed': 2}
{'time': '02/16/2023 00:05:45', 'total_params': 1, 'ratio': 25.0, 'loss': 0.0, 'accuracy': 0.32258063554763794, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6311134696006775, 'prc': 0.41594624519348145, 'seed': 2}
{'time': '02/16/2023 00:10:09', 'total_params': 1, 'ratio': 28.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.7013888359069824, 'prc': 0.546291708946228, 'seed': 2}
{'time': '02/16/2023 00:19:22', 'total_params': 1, 'ratio': 31.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.4940944314002991, 'precision': 0.9999999403953552, 'recall': 0.328125, 'auc': 0.6179981231689453, 'prc': 0.3894720673561096, 'seed': 2}
{'time': '02/16/2023 00:30:36', 'total_params': 1, 'ratio': 34.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.5694445371627808, 'prc': 0.3639483153820038, 'seed': 2}
{'time': '02/16/2023 00:42:40', 'total_params': 1, 'ratio': 37.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6745542287826538, 'prc': 0.4659178853034973, 'seed': 2}
{'time': '02/16/2023 00:51:55', 'total_params': 1, 'ratio': 40.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6367186903953552, 'prc': 0.4317956268787384, 'seed': 2}
